headline,category,short_description
"Supreme Court Shakes Nation To Core, Has No Plans To Ease Up",POLITICS,"“This has been a revolutionary term,” said University of Texas Law Professor Tara Leigh Grove. “The court has massively changed constitutional law in really big ways,"""
Uvalde School Police Chief Pete Arredondo Resigns From City Council,U.S. NEWS,Arredondo's resignation follows widespread condemnation over the police's fatally botched response to the mass shooting at Robb Elementary School
2nd Tourist In 3 Days Gored By Bison At Yellowstone National Park,U.S. NEWS,"In an earlier terrifying attack, a man intervened after a massive animal knocked down his child."
Florida Pediatrician Axed From State Board For Pro-Vaccine Comments,POLITICS,Dr. Lisa Gwynn's assertion that parents of children under 5 should have easy access to COVID-19 vaccines landed her in hot water.
Perfectly Preserved Fast-Food Restaurant Sparks New Interest After Viral Photo,WEIRD NEWS,"The restaurant had opened at a Wilmington, Delaware, mall in 1987."
What Is Compassion Fatigue? Here Are The Signs You're Experiencing It.,WELLNESS,The onslaught of bad news — from the abortion rights ruling to mass shootings to COVID — can lead to a unique type of burnout.
The Funniest Tweets From Women This Week (June 25-July 1),WOMEN,"""Sending friends tweets I think they might like is the same thing as those crows that leave little gifts of bottle caps and string"""
The Funniest Tweets From Parents This Week (June 25-July 1),PARENTING,"""Spend $250 on your kid playing soccer so they can tell you the only thing they enjoyed is the popsicle at the end of the game."""
"'Tiger King' Star Charged With Animal Trafficking, Money Laundering",CRIME,"Animal trainer Bhagavan ""Doc"" Antle was the focus of a Netflix documentary spin-off to ""Tiger King"" in 2021."
‘Kimmel’ Host Chelsea Handler Names & Shames ‘Biggest MAGA Moron Ever Elected’,ENTERTAINMENT,The comic/actor tore into one lawmaker over a basic U.S. civics fail.
"UK Royals’ Spending Up 17%, Mostly For Palace Overhaul Costs",WORLD NEWS,"The most expensive official royal tour in the past year was the trip taken by Prince William and his wife, Kate Middleton, to the Caribbean in March."
Supreme Court Rules Biden Properly Ended Trump's 'Remain In Mexico' Policy,POLITICS,President Joe Biden suspended the program on his first day in office in January 2021.
"Gabby Petito's Family Can Sue Brian Laundrie's Parents, Judge Rules",U.S. NEWS,The slain woman's parents accuse the Laundrie family of inflicting emotional distress by saying they didn't know their son had killed their daughter on a road trip.
Ex-Aide Releases Melania Trump's Revealing 1-Word Text Message From Jan. 6,POLITICS,"This says a lot, despite being only one word."
Meghan Markle Weighs In On Supreme Court's Decision To Overturn Roe,U.S. NEWS,"""The consequences impact all of us,"" Meghan said. ""My husband and I talked about that a lot over the past few days. He’s a feminist, too."""
"Police Are Harassing Mom Who Pulled Kids From Uvalde School Shooting, Lawyer Says",U.S. NEWS,Angeli Rose Gomez criticized officers for not immediately entering Robb Elementary School as a gunman killed children and teachers.
'Menudo: Forever Young' Looks At The Exploitative Nature Of Boy Bands,CULTURE & ARTS,"The new docuseries tells the story of the iconic pop group, and examines how the music industry helped create an obsession with male youth and talent."
MSNBC Names Rachel Maddow's Successor: Alex Wagner,MEDIA,"“I’m honored to be anchoring a key hour of television in such a critical time for American democracy,"" Wagner said."
The GOP’s Anti-LGBTQ Hysteria Is Spreading To Family Drag Shows,POLITICS,"As an ultra-regressive movement aims to send gender norms back to the 1950s, previously uncontroversial events are suddenly facing intense harassment."
Instagram And Facebook Remove Posts Offering Abortion Pills,TECH,"Facebook and Instagram began removing some of these posts, just as millions across the U.S. were searching for clarity around abortion access."
"Former Nazi Guard, 101, Jailed In Germany For Aiding Murder",WORLD NEWS,"The man, only publicly identified as Josef S., was convicted of more than 3,500 counts of accessory to murder and sentenced to five years in prison Tuesday."
How '90s Teen Movies Reflected The Real-Life Homophobia Throughout The Decade,CULTURE & ARTS,"Films like ""Can't Hardly Wait,"" ""Clueless"" and ""Cruel Intentions"" held up an unflinching mirror to the roles young people were socialized to play in a heteronormative society."
"Mariah Carey Brings Big, Big Energy To Latto's 2022 BET Awards Performance",BLACK VOICES,"The ""Queen of Christmas"" joined the ""Queen of Da Souf"" on stage at this year's award ceremony."
"Diddy Honored With Lifetime Achievement, Star-Studded Tribute At 2022 BET Awards",BLACK VOICES,"The music mogul was presented the highest honor of the night with an iconic performance that included Jodeci, Mary J. Blige, Lil Kim, and more."
'Truth Hurts': Arizona's Republican AG Tells Hecklers To 'Shut The Hell Up',POLITICS,Trump has attacked Arizona attorney general Mark Brnovich for not doing more to support his efforts to overturn the 2020 election.
Ben Affleck's 10-Year-Old Son Drives Lamborghini Rental Into Parked Car,ENTERTAINMENT,"No harm done, said the dealer after viral video showed young Samuel Affleck, his famous father and Jennifer Lopez in their misadventure."
Kendrick Lamar Closes Glastonbury Festival With Call For Women's Rights,ENTERTAINMENT,The dramatic protest came two days after the U.S. Supreme Court’s decision to strip away women’s constitutional protection for abortion.
Green Day Frontman Says He's Renouncing Citizenship Over Roe: 'F**k America',ENTERTAINMENT,"“There’s just too much f**king stupid in the world to go back to that miserable f**king excuse for a country,"" Billie Joe Armstrong told a British crowd."
BET Awards 2022 Red Carpet: See The Best Looks From 'Culture's Biggest Night',BLACK VOICES,"Drip or drown was the motto on the red carpet, with our favorite Black celebrities dressed to the nines."
"The Netherlands, Facing Energy And Climate Crises, Bets On A Nuclear Revival",ENVIRONMENT,This isn’t the country's first attempt at an atomic renaissance. Will the Dutch actually make it work this time?
Man Killed By 11-Foot Alligator At South Carolina Pond,ENVIRONMENT,The giant reptile was captured and euthanized on site.
Canada Will Allow Americans To Cross The Border For Abortions: Trudeau,POLITICS,"Canadian Prime Minister Justin Trudeau called the U.S. Supreme Court decision to overturn a constitutional right to abortion ""horrific."""
Bear Looking For Food Dies Inside Hot Car On Sweltering Day,ENVIRONMENT,A black bear's death in Tennessee was a sad reminder of the dangers of both hot cars and leaving food unattended in bear country.
20 Of The Funniest Tweets About Cats And Dogs This Week (June 18-24),COMEDY,"""Petition to stop ringing the doorbell on TV so my dog can lead a less confusing life"""
Olivia Rodrigo Brings Out Lily Allen For 'F**k You' Duet Aimed At Anti-Abortion Justices,ENTERTAINMENT,"“I wanted to dedicate this next song to the five members of the Supreme Court,"" the pop star told a cheering crowd at the Glastonbury Festival."
Truck Driver Rams Into Abortion Rights Demonstrators At Roe Rally In Iowa,POLITICS,A victim told HuffPost that the agitated driver careened into protesters on purpose in downtown Cedar Rapids. At least one person was hospitalized.
Roe v. Wade: Supreme Court Overturns Landmark Ruling Protecting Abortion Rights,POLITICS,The conservative-majority court opened the door to state-level abortion bans that could force people to continue with unsafe and unwanted pregnancies.
Deborah Birx Says Trump Officials Made Her Change COVID Data Sent To States,U.S. NEWS,"“So I learned to put the things that there were issues with into the second part of a sentence,” Donald Trump's COVID coordinator told House members."
"After Bashing 'Woke' Americans, Steve Bannon Hails A Trump-Backing 'Army Of The Awakened'",POLITICS,"Wake up, Steve! If they're ""awakened,"" they're ""woke."""
"Clarence Thomas: Supreme Court Could Now Restrict Marriage Equality, Contraception",POLITICS,The justice called out three cases protecting contraception access and same-sex marriage.
Republicans Are Making It Clear They Want To Ban Abortion Nationwide,POLITICS,The GOP realizes its goal isn’t complete.
"New On Netflix July 2022: 'Persuasion,' 'Virgin River' And More",HOME & LIVING,The streaming service announced the movies and shows arriving soon.
Rep. Marjorie Taylor Greene Tells Reporter To ‘Go Back To Your Country’,POLITICS,"“You have mass stabbings, lady,"" the GOP congresswoman told a reporter who compared U.K. gun statistics to those in the U.S."
'Jeopardy!' Makes A Spelling Error And Fans Gleefully Pounce On It,ENTERTAINMENT,The game show clued in viewers that it's not perfect either.
"Steve Bannon Blasts Murdoch, Saying His Media Empire Is Dumping Trump For DeSantis",POLITICS,"""Fox News, Wall Street Journal, New York Post, Times of London, The Sun etc etc etc"" now ""all lockstep against Trump,"" Bannon insisted."
Herschel Walker Says There Are 52 States,POLITICS,There are 50.
Woman Allegedly Being Held Hostage Gets Rescued Thanks To Grubhub Note,CRIME,"The woman placing the order asked restaurant employees to “call the police” and have them come with the delivery, but “please don’t make it obvious.”"
NFL Seeks Arbitration For Flores' Racial Discrimination Suit,SPORTS,The NFL and six of its teams have filed for arbitration in the lawsuit that alleges they engaged in racial discrimination.
Kim Kardashian Reveals When She Decided To Introduce Pete Davidson To Her Kids,ENTERTAINMENT,"""I think it’s different for everyone,” the SKKN by Kim founder explained on ""Today."""
7 Major Takeaways From The Jan. 6 Committee's Fourth Hearing,POLITICS,The campaign to keep Donald Trump in power amounted to smoke and mirrors.
Jennifer Lopez Introduces Child Emme With They/Them Pronouns Before Sweet Duet,ENTERTAINMENT,"""They're my favorite duet partner of all time,"" the music superstar said of the 14-year-old."
Twitter Erupts With Opinions After Beyoncé Drops ‘Break My Soul’ After Drake’s New Album,ENTERTAINMENT,"The two iconic artists recently took a leap into the world of house music with new, unexpected tunes."
Ginni Thomas-Linked Group Spread Election Lies At Event 2 Months After Jan. 6 Riot,POLITICS,"The Washington Post reviewed video from the March 2021 meeting, in which the headliner called Donald Trump ""the only legitimate president.”"
Rob Kardashian And Blac Chyna Settle Before Trial's Sequel,ENTERTAINMENT,A settlement agreement has been reached on the eve of a second trial pitting the Kardashian family against former reality TV star Blac Chyna.
Dave Chappelle Rejects His High School’s Offer To Name Theater After Him Amid Controversy,ENTERTAINMENT,The comedy star said criticism from Duke Ellington School of Arts students “sincerely hurt me.”
Trump Continues Push To Shut Down Voting Methods 69% of Americans Use,POLITICS,"“Ultimately, we want same-day voting — one day — and only paper ballots,” Trump said."
7 Coffee Alternatives To Try If Caffeine Makes You Jittery,FOOD & DRINK,"Are you sensitive to caffeine? Try these options instead, from caffeine-free options to some that just pack less of a punch."
Ex-Watergate Prosecutor Says Georgia Probe Is The One That Could 'Send Trump To Jail',POLITICS,"Nick Akerman said Trump has ""zero defense"" against a criminal probe into 2020 election meddling in Georgia."
"When Thinking About Water Safety, Consider Your Kid's Swimsuit Color",PARENTING,"It's a little-known factor to take into account when your kids are at the pool, drowning experts say."
Shiloh Jolie-Pitt Dances To Doja Cat In Viral Studio Clip,ENTERTAINMENT,The daughter of Angelina Jolie and Brad Pitt showed off her moves at Millennium Dance Complex.
Reports: Paul Haggis Detained In Italy In Sex Assault Case,ENTERTAINMENT,The film director was detained on Sunday for investigation over allegations that he sexually assaulted a woman in southern Italy.
Troop Morale A Concern As NATO Chief Warns Ukraine War Could Last ‘Years’,WORLD NEWS,Britain’s defense ministry said both Russian and Ukrainian combat units are seeing desertions and units refusing to follow orders.
So 'Happy': Pharrell Williams Pays Off Student Debt Of NAACP Youth Leaders,U.S. NEWS,"""Pharrell forever changed their lives,"" said an NAACP official, who is now hoping President Biden will take action on student debt."
"Uvalde, Texas, Police Didn't Attempt To Open Classroom Door: Report",U.S. NEWS,The police response to the Texas school massacre is being probed in at least three investigations.
An Elite Christian College Has Become The Latest Battleground In America’s Culture Wars,POLITICS,The saga that unfolded after a professor officiated a same-sex wedding has exposed deep rifts over how the school treats members of the LGBTQ community -- and how its church interprets the Bible.
CDC Recommends COVID-19 Shots For Children Under 5,U.S. NEWS,"The shots will become available next week, expanding the nation’s vaccination campaign to children as young as 6 months."
"Nerf Reveals Its New Mascot, And Its Monstrous Look Is Turning Heads",U.S. NEWS,"The mascot, named Murph, is the first for the foam toy maker."
Rants By Herschel Walker's Son On Absent Fathers Go Viral At Awkward Moment,POLITICS,"""Get home and raise your kids!"" Christian Walker lectures men as the public learns his own dad has three other children."
Rep. Eric Swalwell Would Love To Give Trump Equal Time On Jan. 6 Probe — Under Oath,POLITICS,"""Equal time means sitting your lying ass in a witness chair. We'll wait,"" tweets the California Democrat."
The Far-Right’s Assault On An Idaho Pride Event Was Meticulously Planned,POLITICS,Details that emerged after the arrest of 31 white supremacists in Coeur D'Alene show how GOP rhetoric is signaling extremists to attack LGBTQ people.
The Funniest Tweets From Parents This Week (June 11-17),PARENTING,"""My kid told me he deserved more cheese and who am I to argue with that"""
"Without Roe V. Wade, Pregnant Women May Face Arrest For All Kinds Of Behaviors",WELLNESS,The criminalization of pregnancy is already an issue in the U.S. Experts warn it's about to get worse.
Twitter Users Mock Peter Navarro's Desire To Postpone Trial Because Of Book Tour,POLITICS,"One person compared the former Trump aide's antics in court to ""a slow-rolling comedy sketch."""
"10 Foods You Should Never Cook On A Grill, According To Experts",FOOD & DRINK,"Pork chops, certain types of fish and other foods you shouldn't put on the grill grates."
The 20 Funniest Tweets From Women This Week (June 11-17),WOMEN,"""Free iced coffee today at Dunkin if you let them swipe your credit card !!!!"""
"Herschel Walker, After Disparaging Absent Dads, Now Says He Has 4 Kids",POLITICS,"The Republican Senate nominee has called fatherless homes a “major, major problem.”"
How To Treat Bug Bites The Way Dermatologists Do At Home,STYLE & BEAUTY,Here's what to order now so you'll be itch-free all summer.
Seth Meyers Has A Field Day With Rudy Giuliani's 'Diet Pepsi' Claim,COMEDY,"“Sorry, buddy. You just gave yourself away. No one’s favorite drink is Diet Pepsi,” the ""Late Night"" host said."
Obama Marks DACA’s 10th Anniversary In Conversation With Dreamers,POLITICS,"The former president spoke with DACA recipients on the stage of the musical ""¡Americano!,"" based on the life of Dreamer and political organizer Tony Valdovinos."
There Are Millions Of People Who Can't Just 'Move On' From COVID,WELLNESS,"Learning to live with the virus is a privilege many don't have. In the rush to go back to normal, it's important to consider their experiences."
Ryan Gosling's Version Of Ken Is Giving Off Serious 'Earring Magic Ken' Vibes,ENTERTAINMENT,"A photo from the upcoming ""Barbie"" movie reminded fans of the 1993 version of that Ken doll that many people were convinced was a gay icon."
Ryan Gosling Gets Ken-ified In First Look At Bleach Blond 'Barbie' Transformation,ENTERTAINMENT,"Gosling will play Ken opposite Margot Robbie's Barbie in the live-action film, which is set to hit theaters next summer."
"After Defying Trump, GOP Rep. Tom Rice Loses Reelection In South Carolina",POLITICS,The congressman was one of 10 House GOP members who voted in favor of impeaching Trump after the U.S. Capitol riot.
Lizzo Changes Lyric In New Song After Criticism Over Ableist Slur,ENTERTAINMENT,"""Let me make one thing clear: I never want to promote derogatory language,"" the ""Grrrls"" singer said."
Tyler Perry Reveals Will Smith's State Of Mind Right After Oscars Slap,ENTERTAINMENT,"The ""Madea"" filmmaker said he wasn't comforting Smith after he struck Chris Rock for joking about Jada Pinkett Smith."
Mehmet Oz Misspells Pennsylvania Address On Candidacy Form And Twitter Has Jokes,POLITICS,The GOP candidate faces Democrat John Fetterman in a key Senate race in November.
"Yellowstone Floods Wipe Out Roads, Bridges, Strand Visitors",ENVIRONMENT,Flooding has wiped out roads and bridges and closed off all entrances to Yellowstone National Park at the onset of the busy summer tourist season.
'Jeopardy!' Contestant Makes Monumentally Bad Guess About Michael Caine,ENTERTAINMENT,One man's answer to a question about the actor left viewers scratching their heads on Monday.
Kentucky Shatters Its Fatal Overdose Record; Fentanyl Blamed,U.S. NEWS,The state’s rising death count mirrored the nation’s escalating overdose epidemic.
The Races Where Democrats Are Rooting For Election Deniers,POLITICS,"The party is hoping to shape GOP primaries to favor beatable candidates, but some fear they’re playing with fire."
'Degrassi: The Next Generation' Moved The Needle On Abortion Nearly 20 Years Ago,CULTURE & ARTS,"Screenwriter Shelley Scarrow, who wrote “Accidents Will Happen,” talks about why it’s important to portray teens navigating abortion."
Jonathan Groff And Lea Michele Lead Epic 'Spring Awakening' Reunion At Tony Awards,ENTERTAINMENT,"The actors and Broadway besties delivered a chilling performance of ""Touch Me"" with their cast mates from the 2006 musical."
Michael Jackson's Kids Paris And Prince Pay Tribute To Dad At Tony Awards,ENTERTAINMENT,The siblings took the stage at the ceremony to show their support for the musical based on their father's life.
Mick Mulvaney Trashes Trump Staffers As 'Garbage' And Twitter Users Pounce,POLITICS,Many Twitter users said that the former chief of staff's trashing of fellow aides was a case of the pot calling the kettle black.
Easy Ways To Save Money When You Order An Iced Coffee,FOOD & DRINK,"Iced coffee drinks can be a rip-off, in terms of cost and the amount of caffeine you get. Here's how to change that."
Kim Jong Un Rallies Behind North Korea's Weapons Buildup,U.S. NEWS,The leader defended weapons development as an exercise of sovereign rights to self-defense.
Google Engineer On Leave After He Claims AI Program Has Gone Sentient,TECH,"Artificially intelligent chatbot generator LaMDA wants “to be acknowledged as an employee of Google rather than as property,"" says engineer Blake Lemoine."
31 Patriot Front Extremists Aiming To 'Riot' At Idaho Pride Event Arrested: Officials,POLITICS,"The white supremacists, who were dressed in nearly identical uniforms and masks, ""did not come here to engage in peaceful events,"" said the local sheriff."
Trump Reportedly Misusing Presidential Seal To Boost Business At 4th Golf Course,POLITICS,This would not be the first time Trump mixed his office with his private businesses.
Lost 'Giant Dog' Rolls Up To Dollar General Store And Refuses To Leave,U.S. NEWS,"Bentley the dog ""spent a couple of hours browsing"" the aisles after breaking out of the gate at his home."
"Ivanka Trump Backed Her Dad Even As She Knew He Lied, Ex-White House Aide Points Out",POLITICS,"She shouldn't have stood by Donald Trump's side as he kept pushing  lies that the election he lost was rigged, said former press secretary Stephanie Grisham."
"Trump Trapped By 'Ego' In 2020; GOP Should Leave Him There, Slams New York Post",POLITICS,"The newspaper controlled by longtime Trump backer Rupert Murdoch called Jan. 6 ""national shame"" and ripped the ""King Lear of Mar-a-Lago"" for his inability to move forward."
Jeff Bridges Shares Powerful Lessons From Cancer And COVID-19 Bouts,U.S. NEWS,"Bridges, who announced his lymphoma diagnosis in October 2020, also revealed he was diagnosed with COVID-19 during chemotherapy."
25 Of The Funniest Tweets About Cats And Dogs This Week (June 4-10),COMEDY,"""i keep hearing this ad for fresh cat food that says 'your cute kitty is descended from fierce desert cats' and then i look at my cat and say 'this cat??'"""
Kevin McCarthy Blames 'Everybody In The Country' For Jan. 6 Attack,POLITICS,"The House minority leader said everybody bore ""some responsibility"" for the Capitol attack when asked if it was former President Donald Trump's fault."
Jennifer Lopez Felt Sharing Super Bowl Stage With Shakira Was 'Worst Idea In The World',ENTERTAINMENT,"In her Netflix documentary ""Halftime,"" the music superstar talks about her frustrations over the time constraints of 2020's co-headlining performance."
Jared Kushner Dismissed White House Counsel's Threats To Resign As 'Whining',POLITICS,His statement shows how Trump's inner circle failed to take concerns about the rule of law seriously.
The Funniest Tweets From Parents This Week (June 4-10),PARENTING,"""Parenting classes should focus less on diapers and more on what to do when you’re sad but still have to pretend to be a tugboat"""
"The Most Common Questions About The Novavax COVID Vaccine, Answered",WELLNESS,"How is the shot different from Pfizer, Moderna and J&J? Does it work against new variants? Here's what to know."
Dwayne 'The Rock' Johnson Reveals Intense Superhero Look In 'Black Adam' Trailer,ENTERTAINMENT,"""Black Adam"" explores the arch nemesis of Shazam."
Ezra Miller Accused Of Grooming Teen With 'Cult-Like' Behavior,ENTERTAINMENT,"The parents of the teenager, now 18, have reportedly filed paperwork asking a judge to issue an order of protection against “The Flash” star."
"Writer Claims 'Fire Island' Fails The Bechdel Test, And Twitter Users Have Thoughts",ENTERTAINMENT,Many felt Hanna Rosin's critique of Hulu's LGBTQ-inclusive comedy — which features many queer actors of color — was misdirected at best.
The Best Dipping Sauces For French Fries That Aren't Ketchup,FOOD & DRINK,Look beyond Heinz and elevate your fry game with these tasty condiments.
Facebook Algorithm May Have Aided GOP Over Democratic Party Groups: Research,U.S. NEWS,"One co-author of the study said he observed a ""weird pattern"" after collecting social media data."
Harvey Weinstein Facing Criminal Charges For Alleged 1996 Assault In London,ENTERTAINMENT,The Crown Prosecution Service did not reveal the name of the woman accusing Weinstein of sexual assault.
Snoop Dogg Gives His Full-Time Blunt Roller A Raise Amid Inflation: 'Their Salary Went Up!',ENTERTAINMENT,"When you’re as busy as Snoop, a personal joint roller is a no-brainer."
Phil Mickelson Grilled On If He Cares About Being Seen As A 'Saudi Stooge',SPORTS,"One reporter asked the golf great if he was worried about being ""seen as a tool of sportswashing?"""
Trevante Rhodes Is Mike Tyson In Fighting Form On New Hulu Series,ENTERTAINMENT,"The ""Moonlight"" actor tackles the heavyweight champ's triumphs and troubling controversies in ""Mike,"" an unauthorized bio-series due out Aug. 25."
"If You're Doing This In Your Sleep, It's Time To See A Doctor",WELLNESS,Experts reveal symptoms that strike during nighttime rest and what those signs might mean for your health.
Cole Sprouse's Naked Butt Is All It's Cracked Up To Be In Goofy Instagram,ENTERTAINMENT,"The ""Riverdale"" star has millions of fans trying to get to the bottom of his funny post."
Peter Navarro Ripped For Complaining That Being Arrested Wasn't Very Pleasant,POLITICS,The former Trump official griped that he was strip-searched after he was arrested for defying a subpoena.
The Best Foods To Eat If You're Hungry At Night,FOOD & DRINK,Nutritionists share how to enjoy a healthy midnight snack without destroying your night's sleep.
How To Prevent And Treat Summer Chafing For Men,STYLE & BEAUTY,Ditch the discomfort down there with these dermatologist-recommended tips.
Outraged Matthew McConaughey Begs For Commonsense Gun Laws At White House,POLITICS,"""As divided as our country is, this gun responsibility issue is one that we agree on more than we don’t,"" said the actor, who hails from Uvalde, Texas."
"Keanu Reeves, The Internet's Boyfriend, Still Going Strong With Girlfriend Alexandra Grant, Pics Show",ENTERTAINMENT,The two glowed at a red carpet outing more than two years after going public with their relationship.
‘Stranger Things’ Creators Admit They Made Huge Continuity Error In Season 4,ENTERTAINMENT,The Duffer Brothers said they had no intention of making one character’s birthday so sad.
Jennifer Lopez Gets Emotional Talking About Her 'Ride Or Die' At The MTV Movie & TV Awards,ENTERTAINMENT,"""You’re only as good as the people that you work with,” Lopez said during her acceptance speech."
Prince Louis Steals The Show Again With Iconic Antics At Platinum Jubilee,ENTERTAINMENT,The 4-year-old royal is the gift that keeps on giving.
Pete Buttigieg Calls 'Door' Solution To Mass Shootings 'Definition Of Insanity',POLITICS,"Buttigieg shoots down Sen. Ted Cruz's ""insane"" single entrance strategy to end mass killings at schools."
"South African Pastor Found Guilty Of Treason, Racist Plot",CRIME,A South African court has convicted a pastor of plotting to overthrow the government and to kill thousands of Black people in the country.
Giant White Python Appears On The MTV Stage -- Without Britney Spears,ENTERTAINMENT,The reptile even received a kiss at the MTV Movie & TV Awards.
Dave Chappelle Reveals 'Very Fitting Goodbye' Last Time He Saw Norm Macdonald,ENTERTAINMENT,The story behind a photo.
Sen. Chris Murphy: 'We're Closer Than Ever Before' On Bipartisan Gun Legislation,POLITICS,"""I've never been part of negotiations as serious as these,"" he said of ongoing talks in the Senate. ""We are talking about a meaningful change in our gun laws."""
"Alaska's Unusual House Primary Draws Palin, Santa, 46 Others",U.S. NEWS,"Alaska voters are facing an election unlike any they’ve seen, with 48 candidates running to succeed Don Young, who held the state’s only U.S. House seat for 49 years."
Filmmaker John Waters Complains Trump Forever Ruined Bad Taste,POLITICS,"The former president destroyed the humor, the filmmaker grumbles."
Why Biden Is Giving Gun Control Negotiators ‘Some Space’,POLITICS,A president who boasted of his deal-making abilities has backed away from day-to-day congressional action on key issues.
"Rafael Nadal Wins French Open For 14th Time, Defeating Casper Ruud",SPORTS,Nadal secured his 22nd Grand Slam title on Sunday at Roland Garros. No man has won more Grand Slam titles than Nadal.
"As Ukraine Loses Troops, How Long Can It Keep Up The Fight?",WORLD NEWS,"“This is one of the critical moments in the war, but it is not the peak."""
Police Dispatcher Fired After Allegedly Hanging Up On Store Employee During Buffalo Shooting,U.S. NEWS,"An assistant manager at Tops Supermarket called police begging for help. A dispatcher allegedly told her to stop whispering, then hung up the phone."
Vivica A. Fox Unloads On Jada Pinkett Smith For 'No Accountability' In Slap,ENTERTAINMENT,"The ""Kill Bill"" star took issue with Pinkett Smith's ""cold"" comments about the Oscars assault on her ""Red Table Talk"" show."
Man Robbed Of Assault Rifle At Gunpoint Opens Fire With Second Gun,CRIME,"The accused robber was struck multiple times, and two bystanders were wounded in the St. Louis shootout."
The Funniest Tweets From Parents This Week (May 28-June 3),PARENTING,"""Take your kids to the ocean so they can repeatedly ask to swim in the hotel pool."""
The 20 Funniest Tweets From Women This Week (May 28-June 3),WOMEN,"""sorry i was weird last night. it was to move the plot forward"""
Court Rules That California Bees Can Be Fish And Have The Same Protections,ENVIRONMENT,"“The court’s decision allows California to protect some of its most endangered pollinators."""
New York Poised To Raise Age For Semiautomatic Rifles,POLITICS,"This is a major change to firearm laws pushed, less than three weeks after authorities say an 18-year-old used one of the guns to kill 10 people at a supermarket in Buffalo."
Uvalde Police Officer Was On Phone With Wife Before She Was Killed: Report,U.S. NEWS,"Ruben Ruiz's reported final call with his wife, Eva Mireles, could potentially shed light on what authorities knew when they decided not to engage the Robb Elementary shooter."
Comedian Stunned After Asking Man In Confederate Flag Shirt If He’s Pro-Slavery,POLITICS,"Jason Selvig of the comedy duo Good Liars said he was so perplexed that he asked the question three times, hoping for a direct answer."
‘Fire Island’ Remixes A Classic Jane Austen Tale — While Blazing Its Own Path,CULTURE & ARTS,"Joel Kim Booster and Andrew Ahn discuss making a movie about queer Asian joy, and the Austen adaptations and rom-coms that influenced them."
Kim Kardashian Discusses Pete Davidson's 'BDE' And It Gets A Little Hot In Here,ENTERTAINMENT,"The reality star finally goes there on Hulu's ""The Kardashians."""
Michael Avenatti Sentenced To 4 Years For Defrauding Stormy Daniels,U.S. NEWS,Michael Avenatti has been sentenced to four years in prison for cheating client Stormy Daniels of hundreds of thousands of dollars in book proceeds.
"Jada Pinkett Smith Says She Wants Will Smith, Chris Rock To Reconcile After Oscars Slap",ENTERTAINMENT,"Pinkett Smith revealed that it was her ""deepest hope"" that the two men have the opportunity to ""heal"" and talk things out."
LeVar Burton Says He Was ‘Wrecked’ About 'Jeopardy!’ Controversy,ENTERTAINMENT,"The veteran actor claims “'the fix was in"" when it came to picking a host to succeed Alex Trebek."
"WATCH LIVE — A New Labor Movement: How Workers Are Unionizing Amazon, Starbucks, REI And Apple",POLITICS,"Tune in on July 20 to watch our panel discussion with union organizers from the Amazon, REI, Starbucks and Apple battles."
"Breastfeeding In Public Is Hard. For Plus-Size Women, It's Even Harder.",PARENTING,Plus-size moms reveal the highs and lows of their breastfeeding journeys.
Biden's Ex Daughter-In-Law Opens Up About Marriage To Hunter,POLITICS,"Kathleen Buhle describes her ex-husband’s drug addiction, his infidelity and her challenges with the Biden family in her new memoir “If We Break.”"
'West Side Story' Actor Rachel Zegler To Star In 'Hunger Games' Prequel,ENTERTAINMENT,"Zegler will play Lucy Gray Baird in “The Hunger Games: The Ballad of Songbirds and Snakes."""
Supreme Court Blocks Texas Law On Social Media Censorship,U.S. NEWS,"The court voted in an unusual 5-4 alignment Tuesday to put the Texas law on hold, while a lawsuit plays out in lower courts."
"Uvalde's Next Steps: Visitations, Funerals And Burials, One After Another",U.S. NEWS,"Over the next two-and-a-half traumatic weeks, the Uvalde community will say goodbye to the 19 children and two teachers killed in a mass shooting."
"Kody Clemens, Roger Clemens' Son, Set To Make Major League Debut With Detroit Tigers",SPORTS,"""I don't have to live up to what he did,"" Kody Clemens said of his pitching great pop after being called up from the minors."
1 Dead After Crashing Into Miami Pond Teeming With Alligators,U.S. NEWS,Police snipers guarded the pond during a tense rescue attempt.
Sonic Workers Find An Absolute Nightmare Lurking Just Behind The Fry Machine,WEIRD NEWS,They fled the restaurant and called the cops.
The Biggest COVID Issues People Bring Up In Therapy,WELLNESS,"Mental health experts reveal the common pandemic-related struggles people discuss in sessions, plus advice on how to cope."
"Angel Statue Beheaded At Church, $2 Million Relic Stolen",CRIME,The New York City church says its stolen 18-carat gold relic was guarded by its own security system and is irreplaceable due to its historical and artistic value.
"Here’s How Day Drinking Affects Your Body Differently, According To Experts",FOOD & DRINK,Drinking a pitcher of margaritas poolside hits different from an evening glass of wine. Three doctors explain exactly how.
"Georgia DA Could Bury Trump With His Own Words, Says Former Fed Prosecutor",POLITICS,"Trump, meanwhile, is blasting the special grand jury probe into his demand for extra Georgia votes after he lost the election."
"Weapons That Can Cause 'Grave Damage' Aren't Sacred, Texas Bishop Fumes",CRIME,"""Don't tell me that guns aren't the problem, people are. I'm sick of hearing it,"" tweeted Brownsville Bishop Daniel Flores."
